"EventID","State","YearStart","MonthStart","DayStart","YearEnd","MonthEnd","DayEnd","EventDuration","FloodEvent","FloodCause","FatalityFlag","FatalityAge","FatalityGender"
964226,"IOWA",202107,14,14,202107,14,14,1,0,"",NA,NA,NA
950756,"NORTH CAROLINA",202102,15,15,202102,15,15,1,0,"",NA,NA,NA
974816,"IDAHO",202106,3,3,202106,3,3,1,0,"",NA,NA,NA
974825,"OREGON",202106,22,22,202106,22,22,1,0,"",NA,NA,NA
998421,"WISCONSIN",202112,15,15,202112,15,15,1,0,"",NA,NA,NA
998426,"WISCONSIN",202112,15,15,202112,15,15,1,0,"",NA,NA,NA
986963,"CALIFORNIA",202109,17,17,202109,17,17,1,1,"Heavy Rain",NA,NA,NA
1077756,"CALIFORNIA",202109,12,12,202109,13,13,2,0,"",NA,NA,NA
1077757,"CALIFORNIA",202109,12,12,202109,13,13,2,0,"",NA,NA,NA
992704,"WISCONSIN",202112,10,10,202112,11,11,2,0,"",NA,NA,NA
992705,"WISCONSIN",202112,10,10,202112,11,11,2,0,"",NA,NA,NA
992699,"WISCONSIN",202112,10,10,202112,11,11,2,0,"",NA,NA,NA
992700,"WISCONSIN",202112,10,10,202112,11,11,2,0,"",NA,NA,NA
995232,"MINNESOTA",202112,15,15,202112,15,15,1,0,"",NA,NA,NA
995122,"MINNESOTA",202112,15,15,202112,15,15,1,0,"",NA,NA,NA
1077716,"ARIZONA",202109,12,12,202109,13,13,2,0,"",NA,NA,NA
1077726,"ARIZONA",202109,12,12,202109,13,13,2,0,"",NA,NA,NA
1077717,"ARIZONA",202109,12,12,202109,13,13,2,0,"",NA,NA,NA
1077720,"ARIZONA",202109,12,12,202109,13,13,2,0,"",NA,NA,NA
995089,"MINNESOTA",202112,15,15,202112,15,15,1,0,"",NA,NA,NA
995116,"MINNESOTA",202112,15,15,202112,15,15,1,0,"",NA,NA,NA
995117,"MINNESOTA",202112,15,15,202112,15,15,1,0,"",NA,NA,NA
999245,"MONTANA",202112,31,31,202112,31,31,1,0,"",NA,NA,NA
999246,"MONTANA",202112,31,31,202112,31,31,1,0,"",NA,NA,NA
999248,"MONTANA",202112,31,31,202112,31,31,1,0,"",NA,NA,NA
992455,"MONTANA",202112,4,4,202112,4,4,1,0,"",NA,NA,NA
992461,"MONTANA",202112,8,8,202112,8,8,1,0,"",NA,NA,NA
995090,"MONTANA",202112,8,8,202112,8,8,1,0,"",NA,NA,NA
995091,"MONTANA",202112,8,8,202112,8,8,1,0,"",NA,NA,NA
992460,"MONTANA",202112,8,8,202112,8,8,1,0,"",NA,NA,NA
1076199,"MONTANA",202112,18,18,202112,19,19,2,0,"",NA,NA,NA
996770,"MONTANA",202112,23,23,202112,23,23,1,0,"",NA,NA,NA
999230,"MONTANA",202112,31,31,202112,31,31,1,0,"",NA,NA,NA
