"disasterNumber","state","CountyArea","ReservationArea","declarationDate","fyDeclared","incidentType","declarationTitle","ihProgramDeclared","iaProgramDeclared","paProgramDeclared","hmProgramDeclared","incidentBeginDate","incidentEndDate","disasterCloseoutDate","fipsStateCode","fipsCountyCode","placeCode","declarationRequestNumber","lastIAFilingDate","lastRefresh","hash","id","BeginYear","BeginMonth","EndYear","EndMonth","FloodDuration"
4628,"VA","Buchanan ",NA,2021-10-26,2022,"Flood","FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2021-08-30,2021-08-31,"",51,27,99027,21111,"","2023-05-22T03:41:22.800Z","ef7166072252d326067d64d2e93f0d22b66b6771","f69aae5d-7300-4f75-9524-51ce97cf00b7",2021,8,2021,8,2
4624,"NH","Cheshire ",NA,2021-10-04,2022,"Flood","SEVERE STORM AND FLOODING",0,0,1,1,2021-07-29,2021-08-02,"",33,5,99005,21104,"","2023-05-22T03:41:22.800Z","9b1fe7e266f0068f026da36067e1eac5ce7cddf2","d7c8d75b-bec5-41dd-9c8a-a47f4b394bf5",2021,7,2021,8,5
4624,"NH","Sullivan ",NA,2021-10-04,2022,"Flood","SEVERE STORM AND FLOODING",0,0,1,1,2021-07-29,2021-08-02,"",33,19,99019,21104,"","2023-05-22T03:41:22.800Z","8d31395b8dc8b7baf75850de862dd93dd7b19cf5","787a1b78-fd99-4bce-9146-fc0cca465866",2021,7,2021,8,5
4621,"VT","Bennington ",NA,2021-09-29,2021,"Flood","SEVERE STORM AND FLOODING",0,0,1,1,2021-07-29,2021-07-30,"",50,3,99003,21103,"","2023-05-22T03:41:22.800Z","0fa835432c30b0e1f72f73fd5e49d97980681a79","4a2dde3b-9597-4773-b92f-b08b0f015c5e",2021,7,2021,7,2
4621,"VT","Windham ",NA,2021-09-29,2021,"Flood","SEVERE STORM AND FLOODING",0,0,1,1,2021-07-29,2021-07-30,"",50,25,99025,21103,"","2023-05-22T03:41:22.800Z","f78137fd8d121b0b04cc31bc6f3ddadaf85d4dba","0d08b9a0-1c07-4e83-b99b-820e5734667f",2021,7,2021,7,2
4620,"AZ","Apache ",NA,2021-09-13,2021,"Flood","SEVERE STORMS AND FLOODING",0,0,1,1,2021-07-22,2021-07-24,"",4,1,99001,21096,"","2023-05-22T03:41:22.800Z","109df24ed94bdba751a33cae7be7983383aa0f90","9bba7933-d307-4593-9aef-40e40ef02bb6",2021,7,2021,7,3
4620,"AZ","Coconino ",NA,2021-09-13,2021,"Flood","SEVERE STORMS AND FLOODING",0,0,1,1,2021-07-22,2021-07-24,"",4,5,99005,21096,"","2023-05-22T03:41:22.800Z","523fa4802eed2db1791871b9cc88bcb3830a179e","a38cfa29-fd47-4341-932c-09b85a2d9b3c",2021,7,2021,7,3
4620,"AZ","Navajo ",NA,2021-09-13,2021,"Flood","SEVERE STORMS AND FLOODING",0,0,1,1,2021-07-22,2021-07-24,"",4,17,99017,21096,"","2023-05-22T03:41:22.800Z","ba2cc53a831a2889a5cc1a6ec4b98c73e75c6dbd","530e9296-758d-4655-a194-3ff302b53697",2021,7,2021,7,3
4609,"TN","Dickson ",NA,2021-08-23,2021,"Flood","SEVERE STORM AND FLOODING",1,0,1,1,2021-08-21,2021-08-21,"",47,43,99043,21086,"2021-10-25T00:00:00.000Z","2023-05-22T03:41:22.800Z","111995905c15c7b9da53f5dbfd945c723e4035d5","8663e7cf-53ce-4c15-b329-697c53624e51",2021,8,2021,8,1
4609,"TN","Hickman ",NA,2021-08-23,2021,"Flood","SEVERE STORM AND FLOODING",1,0,1,1,2021-08-21,2021-08-21,"",47,81,99081,21086,"2021-10-25T00:00:00.000Z","2023-05-22T03:41:22.800Z","5154ae6d1f99b655c949a1d7f9047613eae5d0db","66168ab3-c9dc-4d68-a87f-5f08d60a3a33",2021,8,2021,8,1
4609,"TN","Houston ",NA,2021-08-23,2021,"Flood","SEVERE STORM AND FLOODING",1,0,1,1,2021-08-21,2021-08-21,"",47,83,99083,21086,"2021-10-25T00:00:00.000Z","2023-05-22T03:41:22.800Z","ddd0737eae73002b0d95edbd602f0153337ef04d","a318a3e6-6980-4aa7-8bd0-5c632189b67d",2021,8,2021,8,1
4609,"TN","Humphreys ",NA,2021-08-23,2021,"Flood","SEVERE STORM AND FLOODING",1,0,1,1,2021-08-21,2021-08-21,"",47,85,99085,21086,"2021-10-25T00:00:00.000Z","2023-05-22T03:41:22.800Z","32fde9069acb449fc4a33a10ebb6c1510a3ee1e3","092fb147-59a1-4571-9866-3501f2c35440",2021,8,2021,8,1
4606,"LA",NA,NA,2021-06-02,2021,"Flood","SEVERE STORMS, TORNADOES, AND FLOODING",0,0,1,1,2021-05-17,2021-05-21,"",22,7,99007,21039,"2021-08-02T00:00:00.000Z","2023-05-22T03:41:22.800Z","f3d171f6f950e6a5c9eebf384aff047a9f86210b","7d2823c8-b4ec-40ba-9aa3-1c42d8c3240d",2021,5,2021,5,5
4606,"LA",NA,NA,2021-06-02,2021,"Flood","SEVERE STORMS, TORNADOES, AND FLOODING",0,0,1,1,2021-05-17,2021-05-21,"",22,57,99057,21039,"2021-08-02T00:00:00.000Z","2023-05-22T03:41:22.800Z","3b86e284b26e2a5fb2f3b44641c9276ae1ebbd53","4f6658f4-83c2-43d3-8d24-1a80bd40b6cd",2021,5,2021,5,5
